Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry,serial
TB00001186M,2,,1,1,7.87,,
TB00001189M,2,,1,1,7.87,,
TB00001198M,2,,1,1,6.41,,
TB00001199M,2,,1,1,6.41,,
TB00001200M,2,,1,1,6.41,,
TB00001201M,2,,1,1,6.41,,
TB00001202M,2,,1,1,6.41,,
TB00001203M,2,,1,1,6.41,,
TB00001204M,2,,1,1,6.41,,
TB00001205M,2,,1,1,6.41,,
TB00001206M,2,,1,1,6.41,,
TB00001207M,2,,1,1,6.41,,
TB00001208M,2,,1,1,6.41,,
TB00001209M,2,,1,1,6.41,,
TB00001230M,2,,1,1,5.83,,
TB00001233M,2,,1,1,5.83,,
TB00001238M,2,,1,1,5.83,,
TB00001250M,2,,1,1,5.83,,
TB00001446M,2,,1,1,5.53,,
TB00001455M,2,,1,1,5.09,,
TB00001491M,2,,1,1,5.09,,
TB00001587M,2,,1,1,3.34,,
TB00001593M,2,,1,1,3.93,,
TB00001603M,2,,1,1,4.07,,
TB00001604M,2,,1,1,4.07,,
TB00001616M,2,,1,1,4.94,,
TB00001623M,2,,1,1,4.36,,
TB00001635M,2,,1,1,4.07,,
TB00001639M,2,,1,1,4.07,,
TG00001004M,2,,1,1,2.86,,
TG00001024M,2,,1,1,6,,
TG00001025M,2,,1,1,6,,
TG00001026M,2,,1,1,2.14,,
TG00001028M,2,,1,1,2.14,,
TG00001043M,2,,1,1,2.57,,
TG00001118M,2,,1,1,5.14,,
TG00001120M,2,,1,1,5.14,,
TG00001130M,2,,1,1,5.14,,
TG00001137M,2,,1,1,5.14,,
TG00001138M,2,,1,1,5.14,,
TG00001140M,2,,1,1,5.14,,
TG00001181M,2,,1,1,1.86,,
TG00001186M,2,,1,1,5.53,,
TG00001192M,2,,1,1,2.62,,
TG00001197M,2,,1,1,2.62,,
TG00001199M,2,,1,1,2.62,,
TG00001257M,2,,1,1,2.62,,
NB00001714M,2,,1,1,2.62,,
NB00001715M,2,,1,1,2.62,,
NB00001716M,2,,1,1,2.62,,
NB00001724M,2,,1,1,2.62,,
NB00001725M,2,,1,1,2.62,,
NB00001726M,2,,1,1,2.62,,
DR00001589M,2,,1,1,2.62,,
TB00001643M,2,,1,1,2.62,,
TB00001646M,2,,1,1,2.62,,
SB00001664M,2,,1,1,2.62,,
SB00001666M,2,,1,1,2.62,,
SB00001668M,2,,1,1,2.62,,
SG00001262M,2,,1,1,2.62,,
SG00001264M,2,,1,1,2.62,,
SG00001265M,2,,1,1,2.62,,
SG00001266M,2,,1,1,2.62,,
SG00001267M,2,,1,1,2.62,,
DR00001600M,2,,1,1,2.62,,
TB00001667M,2,,1,1,2.62,,
TB00001668M,2,,1,1,2.62,,
TB00001669M,2,,1,1,2.62,,
TB00001670M,2,,1,1,2.62,,
TB00001671M,2,,1,1,2.62,,
TB00001672M,2,,1,1,2.62,,
TB00001673M,2,,1,1,2.62,,
DR00001611M,2,,1,1,2.62,,
NB00001730M,2,,1,1,2.62,,
TB00001701M,2,,1,1,2.62,,
TB00001702M,2,,1,1,2.62,,
TB00001710M,2,,1,1,2.62,,
TB00001712M,2,,1,1,2.62,,
TB00001729M,2,,1,1,2.62,,
TB00001737M,2,,1,1,2.62,,
TB00001748M,2,,1,1,2.62,,
TB00001764M,2,,1,1,2.62,,
TB00001765M,2,,1,1,2.62,,
TB00001767M,2,,1,1,2.62,,
TB00001783M,2,,1,1,2.62,,
TB00001817M,2,,1,1,2.62,,
TB00001843M,2,,1,1,2.62,,
TB00001871M,2,,1,1,2.62,,
TB00001887M,2,,1,1,2.62,,
TB00001893M,2,,1,1,2.62,,
TB00001954M,2,,1,1,2.62,,
TB00001990M,2,,1,1,2.62,,
TB00002008M,2,,1,1,2.62,,
TB00002046M,2,,1,1,2.62,,
DR00001618M,2,,1,1,2.62,,
