Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
SG00001897,TK5080Blu5(2-3y)2-8y,,Shirt Girl,1,,17.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001898,TK5080Blu7(3-4y)2-8y,,Shirt Girl,1,,17.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001899,TK5080Blu9(4-5y)2-8y,,Shirt Girl,1,,17.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001900,TK5080Blu11(5-6y)2-8y,,Shirt Girl,1,,17.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001901,TK5080Blu13(6-7y)2-8y,,Shirt Girl,1,,17.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001902,TK5080Blu15(7-8y)2-8y,,Shirt Girl,1,,17.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001415,TK6051Blu5(2-3y)2-8y,,Trouser Girl,1,,21.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001416,TK6051Blu7(3-4y)2-8y,,Trouser Girl,1,,21.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001417,TK6051Blu9(4-5y)2-8y,,Trouser Girl,1,,21.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001418,TK6051Blu11(5-6y)2-8y,,Trouser Girl,1,,21.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001419,TK6051Blu13(6-7y)2-8y,,Trouser Girl,1,,21.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001420,TK6051Blu15(7-8y)2-8y,,Trouser Girl,1,,21.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001903,TK5051Gra5(2-3y)2-8y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001904,TK5051Gra7(3-4y)2-8y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001905,TK5051Gra9(4-5y)2-8y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001906,TK5051Gra11(5-6y)2-8y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001907,TK5051Gra13(6-7y)2-8y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001908,TK5051Gra15(7-8y)2-8y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001909,TK5256Blu1(9-12m)9-5y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001910,TK5256Blu3(12-18m)9-5y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001911,TK5256Blu5(2-3y)9-5y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001912,TK5256Blu7(3-4y)9-5y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001913,TK5256Blu9(4-5y)9-5y,,Shirt Girl,1,,15.5,,,,,,,,,,,,,,,,,no_image.png,standard
DR00003271,TK3075Yel5(2-3y)2-8y,,Dress,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
DR00003272,TK3075Yel7(3-4y)2-8y,,Dress,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
DR00003273,TK3075Yel9(4-5y)2-8y,,Dress,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
DR00003274,TK3075Yel11(5-6y)2-8y,,Dress,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
DR00003275,TK3075Yel13(6-7y)2-8y,,Dress,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
DR00003276,TK3075Yel15(7-8y)2-8y,,Dress,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001914,TK5252Pin1(9-12m)9-5y,,Shirt Girl,1,,16.9,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001915,TK5252Pin3(12-18m)9-5y,,Shirt Girl,1,,16.9,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001916,TK5252Pin5(2-3y)9-5y,,Shirt Girl,1,,16.9,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001917,TK5252Pin7(3-4y)9-5y,,Shirt Girl,1,,16.9,,,,,,,,,,,,,,,,,no_image.png,standard
SG00001918,TK5252Pin9(4-5y)9-5y,,Shirt Girl,1,,16.9,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001421,TK6065Whi5(2-3y)2-8y,,Trouser Girl,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001422,TK6065Whi7(3-4y)2-8y,,Trouser Girl,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001423,TK6065Whi9(4-5y)2-8y,,Trouser Girl,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001424,TK6065Whi11(5-6y)2-8y,,Trouser Girl,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001425,TK6065Whi13(6-7y)2-8y,,Trouser Girl,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
TG00001426,TK6065Whi15(7-8y)2-8y,,Trouser Girl,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
