Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry,serial
DR0031670,5,,2,1,4,,
DR0031671,4,,2,1,4,,
DR0031672,2,,2,1,4,,
NB0031710,6,,2,1,4,,
NB0031711,1,,2,1,4,,
NB0034238,4,,2,1,4,,
NB0034240,4,,2,1,4,,
NB0034241,1,,2,1,4,,
SG0038905,1,,2,1,4,,
SG0038906,2,,2,1,4,,
SB0038995,3,,2,1,4,,
SB0038996,2,,2,1,4,,
SB0038997,3,,2,1,4,,
SG0039200,1,,2,1,4,,
SG0039201,2,,2,1,4,,
SG0039203,1,,2,1,4,,
NB0040218,1,,2,1,4,,
NB0040219,1,,2,1,4,,
NB0040222,1,,2,1,4,,
SG0040630,3,,2,1,4,,
SG0040631,1,,2,1,4,,
SG0040632,5,,2,1,4,,
SG0040633,7,,2,1,4,,
NB0041417,2,,2,1,3.79,,
NB0041418,2,,2,1,3.79,,
NB0041419,2,,2,1,3.79,,
NB0041566,2,,2,1,3.79,,
NB0041567,6,,2,1,3.79,,
NB0041568,5,,2,1,3.79,,
NB0041569,6,,2,1,3.79,,
NB0041574,6,,2,1,3.79,,
NB0041575,5,,2,1,3.79,,
NB0041576,7,,2,1,3.79,,
NB0041577,2,,2,1,3.79,,
NB0041596,1,,2,1,3.79,,
NB0041597,4,,2,1,3.79,,
NB0041598,4,,2,1,3.79,,
NB0041599,5,,2,1,3.79,,
NB0043821,6,,2,1,4.71,,
NB0043822,6,,2,1,4.71,,
NB0043823,5,,2,1,4.71,,
NB0043824,6,,2,1,4.71,,
NB0043869,1,,2,1,4.29,,
NB0043870,2,,2,1,4.29,,
NB0043871,1,,2,1,4.29,,
NB0043872,2,,2,1,4.29,,
NB0043873,1,,2,1,4.29,,
NB0043874,3,,2,1,4.29,,
NB0044138,3,,2,1,5,,
NB0044139,7,,2,1,5,,
NB0044140,7,,2,1,5,,
NB0044141,5,,2,1,5,,
SG0044378,3,,2,1,3.5,,
SG0044379,3,,2,1,3.5,,
SG0044380,3,,2,1,3.5,,
SG0044381,3,,2,1,3.5,,
SG0044382,3,,2,1,3.5,,
SG0044383,2,,2,1,3.5,,
SG0044582,1,,2,1,3.39,,
SG0044583,1,,2,1,3.39,,
SG0044584,2,,2,1,3.39,,
SG0044585,2,,2,1,3.39,,
SG0044586,2,,2,1,3.39,,
SG0044587,2,,2,1,3.39,,
SG0045341,1,,2,1,3.14,,
SG0045342,2,,2,1,3.14,,
SG0045343,1,,2,1,3.14,,
SG0045344,2,,2,1,3.14,,
SG0045345,2,,2,1,3.14,,
SG0045346,1,,2,1,3.14,,
SG0045347,2,,2,1,3.14,,
SG0045348,2,,2,1,3.14,,
SG0045349,2,,2,1,3.14,,
SG0045350,2,,2,1,3.14,,
DR13712,1,,2,1,3.14,,
DR13713,2,,2,1,3.14,,
DR13714,2,,2,1,3.14,,
DR13715,2,,2,1,3.14,,
DR13716,1,,2,1,3.14,,
DR00001040M,1,,2,1,2.86,,
DR00001041M,1,,2,1,2.86,,
DR00001439M,1,,2,1,5.83,,
DR00001440M,3,,2,1,5.83,,
DR00001441M,3,,2,1,5.83,,
DR00001442M,3,,2,1,5.83,,
DR00001443M,2,,2,1,5.83,,
NB00001338M,1,,2,1,5.14,,
NB00001339M,2,,2,1,5.14,,
NB00001340M,3,,2,1,5.14,,
NB00001341M,2,,2,1,5.14,,
SB00001237M,2,,2,1,3.71,,
SB00001238M,3,,2,1,3.71,,
SB00001239M,3,,2,1,3.71,,
SB00001556M,4,,2,1,5.39,,
SB00001557M,4,,2,1,5.39,,
SB00001558M,4,,2,1,5.39,,
SB00001559M,4,,2,1,5.39,,
SB00001560M,2,,2,1,5.39,,
SB00001561M,3,,2,1,5.39,,
SB00001562M,3,,2,1,5.39,,
SB00001563M,4,,2,1,5.39,,
SB00001564M,4,,2,1,5.39,,
SB00001565M,4,,2,1,5.39,,
SB00001566M,4,,2,1,5.39,,
SB00001567M,4,,2,1,5.39,,
SB00001594M,3,,2,1,6.55,,
SB00001595M,3,,2,1,6.55,,
SB00001596M,1,,2,1,6.55,,
SB00001597M,2,,2,1,6.55,,
SB00001598M,1,,2,1,6.55,,
SB00001599M,1,,2,1,6.55,,
SB00001605M,4,,2,1,5.39,,
SB00001606M,4,,2,1,5.39,,
SB00001607M,4,,2,1,5.39,,
SB00001608M,6,,2,1,5.39,,
SB00001609M,4,,2,1,5.39,,
SB00001610M,4,,2,1,5.39,,
SB00001611M,4,,2,1,5.39,,
SB00001612M,3,,2,1,5.39,,
SB00001613M,3,,2,1,5.39,,
SB00001614M,4,,2,1,5.39,,
SB00001615M,2,,2,1,5.39,,
SB00001616M,4,,2,1,5.39,,
SB00001617M,2,,2,1,5.39,,
SB00001618M,4,,2,1,5.39,,
SB00001619M,2,,2,1,5.39,,
SG00001020M,2,,2,1,3,,
SG00001021M,2,,2,1,3,,
SG00001022M,2,,2,1,3,,
SG00001023M,2,,2,1,3,,
SG00001024M,2,,2,1,3,,
SG00001055M,2,,2,1,4.57,,
SG00001056M,2,,2,1,4.57,,
SG00001057M,2,,2,1,4.57,,
SG00001109M,2,,2,1,4.14,,
SG00001110M,2,,2,1,4.14,,
SG00001111M,2,,2,1,4.14,,
SG00001112M,1,,2,1,4.14,,
SG00001113M,1,,2,1,4.14,,
SG00001114M,2,,2,1,4.14,,
SG00001115M,1,,2,1,4.14,,
SG00001116M,2,,2,1,4.14,,
SG00001117M,2,,2,1,4.14,,
SG00001118M,1,,2,1,4.14,,
SG00001131M,3,,2,1,4.71,,
SG00001132M,1,,2,1,4.71,,
SG00001133M,1,,2,1,4.71,,
SG00001166M,1,,2,1,5.43,,
SG00001171M,1,,2,1,5.43,,
SG00001173M,1,,2,1,5.43,,
SG00001174M,2,,2,1,5.43,,
SG00001175M,2,,2,1,5.43,,
SG00001176M,1,,2,1,5.43,,
SG00001177M,2,,2,1,5.43,,
SG00001178M,1,,2,1,5.43,,
SG00001180M,2,,2,1,5.43,,
SG00001181M,5,,2,1,5.43,,
SG00001182M,2,,2,1,5.43,,
