Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
SB00002357,CN1752833Blu100(2-3y)2-8y,,Shirt Boy,1,,22.5,,,,,,,,,,,,,,,,,no_image.png,standard
SB00002358,CN1752833Blu110(3-4y)2-8y,,Shirt Boy,1,,22.5,,,,,,,,,,,,,,,,,,
SB00002359,CN1752833Blu120(4-5y)2-8y,,Shirt Boy,1,,22.5,,,,,,,,,,,,,,,,,,
SB00002360,CN1752833Blu130(5-6y)2-8y,,Shirt Boy,1,,22.5,,,,,,,,,,,,,,,,,,
SB00002361,CN1752833Blu140(6-7y)2-8y,,Shirt Boy,1,,22.5,,,,,,,,,,,,,,,,,,
SB00002362,CN1752833Blu150(7-8y)2-8y,,Shirt Boy,1,,22.5,,,,,,,,,,,,,,,,,,
SB00002363,CN185173Whi100(2-3y)2-8y,,Shirt Boy,1,,18.9,,,,,,,,,,,,,,,,,,
SB00002364,CN185173Whi110(3-4y)2-8y,,Shirt Boy,1,,18.9,,,,,,,,,,,,,,,,,,
SB00002365,CN185173Whi120(4-5y)2-8y,,Shirt Boy,1,,18.9,,,,,,,,,,,,,,,,,,
SB00002366,CN185173Whi130(5-6y)2-8y,,Shirt Boy,1,,18.9,,,,,,,,,,,,,,,,,,
SB00002367,CN185173Whi140(6-7y)2-8y,,Shirt Boy,1,,18.9,,,,,,,,,,,,,,,,,,
SB00002368,CN185173Whi150(7-8y)2-8y,,Shirt Boy,1,,18.9,,,,,,,,,,,,,,,,,,
SB00002369,CN185187Blu100(2-3y)2-8y,,Shirt Boy,1,,21.9,,,,,,,,,,,,,,,,,,
SB00002370,CN185187Blu110(3-4y)2-8y,,Shirt Boy,1,,21.9,,,,,,,,,,,,,,,,,,
SB00002371,CN185187Blu120(4-5y)2-8y,,Shirt Boy,1,,21.9,,,,,,,,,,,,,,,,,,
SB00002372,CN185187Blu130(5-6y)2-8y,,Shirt Boy,1,,21.9,,,,,,,,,,,,,,,,,,
SB00002373,CN185187Blu140(6-7y)2-8y,,Shirt Boy,1,,21.9,,,,,,,,,,,,,,,,,,
SB00002374,CN185187Blu150(7-8y)2-8y,,Shirt Boy,1,,21.9,,,,,,,,,,,,,,,,,,
SB00002375,CN185199Blu100(2-3y)2-8y,,Shirt Boy,1,,22.5,,,,,,,,,,,,,,,,,,
SB00002376,CN185199Blu110(3-4y)2-8y,,Shirt Boy,1,,22.5,,,,,,,,,,,,,,,,,,
SB00002377,CN185199Blu120(4-5y)2-8y,,Shirt Boy,1,,22.5,,,,,,,,,,,,,,,,,,
SB00002378,CN185199Blu130(5-6y)2-8y,,Shirt Boy,1,,22.5,,,,,,,,,,,,,,,,,,
